# CMUdict fallback pronunciations converted from ARPAbet
a	IX
floored	fl'OWrd
flooring	fl'OWrIHNG
floors	fl'OWrz
flop	fl'AAp
flopped	fl'AApt
flopping	fl'AApIHNG
floppy	fl'AApIY
flops	fl'AAps
floptical	fl'AAptIHkIXLX
flor	fl'OWr
flora	fl'OWrIX
florafax	fl'OWrIXf"AEks
floral	fl'OWrIXLX
florally	fl'OWrIXlIY
florals	fl'OWrIXLXz
florance	fl'OWrIXns
flore	fl'OWr
florea	fl'OWrIYIX
florek	fl'OWrIHk
floren	fl'OWrIXn
florence	fl'OWrIXns
florence's	fl'OWrIXnsIHz
florentina	fl"OWrEHnt'IYnAA
florentine	fl'OWrIXnt"IYn
florentino	flOWrEHnt'IYnOW
florer	fl'OWrER
flores	fl'OWr"EHz
florescue	fl'OWrIXskyUW
floresheim	fl'OWrSH"AYm
florey	fl'OWrIY
florez	flOWr'EHz
flori	fl'OWrIY
floria	fl'OWrIYIX
florian	fl'OWrIYIXn
florid	fl'OWrIXd
florida	fl'OWrIXdIX
florida's	fl'OWrIHdIXz
floridabanc	fl'OWrIXdIXb"AENGk
floridian	flOWr'IHdIYIXn
floridians	flOWr'IHdIYIXnz
florin	fl'OWrIHn
florinda	flOWr'IYndIX
florine	flOWr'IYn
florini	flOWr'IYn"IY
florio	fl'OWrIYOW
florio's	fl'OWrIYOWz
floris	fl'OWrIHs
florist	fl'AArIHst
florists	fl'OWrIHsts
floro	fl'OWrOW
florrie	fl'OWrIY
florry	fl'OWrIY
florsheim	fl'OWrSH"AYm
flory	fl'OWrIY
floss	fl'AAs
flossie	fl'AAsIY
flotation	flOWt'EYSHIXn
flotilla	flOWt'IHlIX
flotow	fl'AAtAW
flotsam	fl'AAtsIXm
flott	fl'AAt
flotta	fl'AAtIX
flounce	fl'AWns
flounces	fl'AWnsIHz
flounder	fl'AWndER
floundered	fl'AWndERd
floundering	fl'AWndERIHNG
flounders	fl'AWndERz
flour	fl'AWER
flourish	fl'ERIHSH
flourished	fl'ERIHSHt
flourishes	fl'ERIHSHIXz
flourishing	fl'ERIHSHIHNG
flournoy	flUHrn'OY
flours	fl'AWERz
flout	fl'AWt
flouted	fl'AWtIHd
flouting	fl'AWtIHNG
flouts	fl'AWts
flow	fl'OW
flowchart	fl'OWtSH"AArt
flowcharts	fl'OWtSH"AArts
flowe	fl'OW
flowed	fl'OWd
flower	fl'AWER
flowered	fl'AWERd
flowering	fl'AWERIHNG
flowerpot	fl'AWERp"AAt
flowers	fl'AWERz
flowery	fl'AWERIY
flowing	fl'OWIHNG
flown	fl'OWn
flows	fl'OWz
flowton	fl'OWtIXn
floy	fl'OY
floyd	fl'OYd
flu	fl'UW
flubs	fl'AHbz
fluck	fl'AHk
fluctuate	fl'AHktSHIXw"EYt
fluctuated	fl'AHktSHIXw"EYtIHd
fluctuates	fl'AHktSHUW"EYts
fluctuating	fl'AHktSHIXw"EYtIHNG
fluctuation	fl"AHktSHUW'EYSHIXn
fluctuations	fl"AHktSHUW'EYSHIXnz
flud	fl'AHd
fludd	fl'AHd
flue	fl'UW
fluegel	fl'UHgIXLX
fluegge	fl'UWg
fluency	fl'UWIXnsIY
fluent	fl'UWIXnt
fluently	fl'UWIXntlIY
fluet	fl'UWt
fluff	fl'AHf
fluffed	fl'AHft
fluffier	fl'AHfIYER
fluffiest	fl'AHfIYIXst
fluffs	fl'AHfs
fluffy	fl'AHfIY
fluharty	fl'AHERtIY
fluhr	fl'ER
fluid	fl'UWIXd
fluidity	flUW'IHdIXtIY
fluids	fl'UWIXdz
fluitt	fl'UWIXt
fluke	fl'UWk
fluker	fl'UWkER
flukes	fl'UWks
flulike	fl'UWl"AYk
flume	fl'UWm
flumenbaum	fl'UWmIXnb"AWm
flumes	fl'UWmz
flummox	flIXm'AAks
flummoxed	flIXm'AAkst
flung	fl'AHNG
flunk	fl'AHNGk
flunked	fl'AHNGkt
flunking	fl'AHNGkIHNG
flunks	fl'AHNGks
fluor	fl'UWER
fluor's	fl'UWERz
fluoresce	fl"UHr'EHs
fluorescence	fl"UHr'EHsIXns
fluorescent	fl"UHr'EHsIXnt
fluorescently	fl"UHr'EHsIXntlIY
fluorescents	fl"UHr'EHsIXnts
fluoridation	fl"UHrIXd'EYSHIXn
fluoride	fl'UHr"AYd
fluorides	fl'UHr"AYdz
fluorine	fl'UHr"IYn
fluorite	fl'UHr"AYt
fluorocarbon	fl"UHrOWk'AArbIXn
fluorocarbons	fl"UHrOWk'AArbIXnz
fluorometer	fl"UHr'AAmIXtER
fluoroscopy	fl"UHr'AAskIXpIY
fluorspar	fl'UHrsp"AAr
flurried	fl'ERIYd
flurries	fl'ERIYz
flurry	fl'ERIY
flury	fl'UWrIY
flus	fl'UWz
flush	fl'AHSH
flushed	fl'AHSHt
flushes	fl'AHSHIHz
flushing	fl'AHSHIHNG
fluster	fl'AHstER
flustered	fl'AHstERd
flustering	fl'AHstERIHNG
flusters	fl'AHstERz
flute	fl'UWt
flutes	fl'UWts
flutist	fl'UWtIHst
flutter	fl'AHtER
fluttered	fl'AHtERd
fluttering	fl'AHtERIHNG
flutters	fl'AHtERz
fluty	fl'UWtIY
fluvial	fl'UWvIYIXLX
flux	fl'AHks
fluxes	fl'AHksIHz
fluxional	fl'AHkSHIXnIXLX
fly	fl'AY
flyby	fl'AYb"AY
flycatcher	fl'AYk"AEtSHER
flye	fl'AY
flyer	fl'AYER
flyers	fl'AYERz
flying	fl'AYIHNG
flynn	fl'IHn
flynt	fl'IHnt
flypaper	fl'AYp"EYpER
flythe	fl'AYDH
flytrap	fl'AYtr"AEp
flyway	fl'AYw"EY
flywheel	fl'AYw"IYLX
fm	'EHf'EHm
fnma	"EHf"EHn"EHm'EY
foal	f'OWLX
foale	f'OWLX
foale's	f'OWLXz
foaling	f'OWlIHNG
foam	f'OWm
foaming	f'OWmIHNG
foams	f'OWmz
foamy	f'OWmIY
foard	f'OWrd
fob	f'AAb
fobbs	f'AAbz
fobel	f'OWbIXLX
fobel's	f'OWbIXLXz
fobes	f'OWbz
focaccia	fOWk'AAtSH"IYIX
focal	f'OWkIXLX
focht	f'AAkt
fochtman	f'AAktmIXn
fockler	f'AAklER
focus	f'OWkIXs
focused	f'OWkIXst
focuses	f'OWkIXsIHz
focusing	f'OWkIXsIHNG
focussed	f'OWkIXst
fodder	f'AAdER
fodera	fOWd'EHrIX
fodor	f'OWdER
foe	f'OW
foehlich	f'OWlIHtSH
foell	f'IYLX
foeller	f'OWlER
foerster	f'OWrstER
foertsch	f'OWrtSH
foes	f'OWz
fog	f'AAg
fogal	f'OWdZHIXLX
fogarty	f'AAg"AArtIY
fogel	f'OWgIXLX
fogelberg	f'OWgIXLXbERg
fogelberg's	f'OWgIXLXbERgz
fogelman	f'OWgIXLXmIXn
fogelman's	f'OWgIXLXmIXnz
fogelson	f'OWgIXLXsIXn
fogelson's	f'OWgIXLXsIXnz
fogerty	f'AAdZHERtIY
fogerty's	f'AAdZHERtIYz
fogg	f'AAg
fogg's	f'AAgz
foggiest	f'AAgIYIXst
foggy	f'AAgIY
fogle	f'OWgIXLX
fogleman	f'OWgIXLXmIXn
fogler	f'OWgIXlER
foglesong	f'AAgIXLXsAANG
foglia	f'AAglIYIX
foglio	f'AAglIYOW
fogs	f'AAgz
fogt	f'AAgt
fogy	f'OWgIY
fohl	f'OWLX
foia	f'OWyIX
foible	f'OYbIXLX
foibles	f'OYbIXLXz
foie	f'OY
foil	f'OYLX
foiled	f'OYLXd
foiles	f'AAAYLXz
foiling	f'OYlIHNG
foils	f'OYLXz
foist	f'OYst
foisted	f'OYstIHd
foister	f'OYstER
foisy	f'OYzIY
fojtik	f'AAytIHk
fokker	f'AAkER
fokkers	f'AAkERz
folan	f'OWlIXn
foland	f'OWlIXnd
folck	f'OWLXk
fold	f'OWLXd
folded	f'OWLXdIXd
folden	f'OWLXdIXn
folder	f'OWLXdER
folders	f'OWLXdERz
folding	f'OWLXdIHNG
folds	f'OWLXdz
foley	f'OWlIY
foley's	f'OWlIYz
folger	f'OWLXdZHER
folger's	f'OWLXdZHERz
folgers	f'OWLXdZHERz
folha	f'OWLXhIX
foliage	f'OWlIHdZH
foliate	f'OWlIY"EYt
foliation	f"OWlIY'EYSHIXn
folic	f'AAlIHk
folino	fOWl'IYn"OW
folio	f'OWl"IYOW
folk	f'OWk
folker	f'OWkER
folkers	f'OWkERz
folkert	f'OWkERt
folkerts	f'OWkERts
folkes	f'OWks
folkish	f'OWkIHSH
folklore	f'OWkl"OWr
folkman	f'OWkmIXn
folkrock	f'OWkr"AAk
folks	f'OWks
folkstone	f'OWkst"OWn
folkstone's	f'OWkst"OWnz
folksy	f'OWksIY
folktale	f'OWkt"EYLX
folkway	f'OWkw"EY
folkways	f'OWkw"EYz
folland	f'AAlIXnd
follett	f'AAlIHt
follette	f"AAl'EHt
folley	f'AAlIY
folliard	f'AALXyERd
follicle	f'AAlIXkIXLX
follicles	f'AAlIHkIXLXz
follies	f'AAlIYz
follin	f'AAlIHn
follis	f'AAlIHs
follman	f'AALXmIXn
follmer	f'AALXmER
follow	f'AAlOW
followed	f'AAlOWd
followell	f'AAlIXwEHLX
follower	f'AAlOWER
followers	f'AAlOWERz
following	f'AAlOWIHNG
followings	f'AAlOWIHNGz
follows	f'AAlOWz
followup	f'AAlOW"AHp
folly	f'AAlIY
folmar	f'OWLXmER
folmer	f'OWLXmER
folse	f'OWLXs
folsom	f'OWLXsIXm
folson	f'OWLXsIXn
folta	f'OWLXtIX
foltene	fOWLXt'IYn
folts	f'OWLXts
foltz	f'OWLXts
folwell	f'OWLXw"EHLX
folz	f'OWLXz
fomby	f'AAmbIY
foment	f'OWmEHnt
fomented	f'OWmEHntIHd
fomenting	f'OWmEHntIHNG
fomento	f"OWm'EHntOW
fomon	f'OWmIXn
fomon's	f'OWmIXnz
fonar	f'AAnER
foncier	f'AAnsyER
fond	f'AAnd
fonda	f'AAndIX
fonda's	f'AAndIXz
fonder	f'AAndER
fondest	f'AAndIXst
fondiaria	f"AAndIY'EHrIYIX
fondkommission	f"AAndkIXm'IHSHIXn
fondle	f'AAndIXLX
fondled	f'AAndIXLXd
fondling	f'AAndIXlIHNG
fondly	f'AAndlIY
fondness	f'AAndnIXs
fondren	f'AAndERIXn
fondue	fAAndy'UW
fondues	f'AAndUWz
fone	f'OWn
foner	f'OWnER
fones	f'OWnz
fong	f'AANG
fonger	f'AANGER
fonner	f'AAnER
fons	f'AAnz
fonseca	fOWns'EHkIX
font	f'AAnt
fontaine	fAAnt'EYn
fontainebleau	f'AAntIXnbl"OW
fontana	fAAnt'AEnIX
fontanella	f"AAntIXn'EHlIX
fontanez	fOWnt'AAnEHz
fontanilla	f"AAntIXn'IHlIX
fonte	f'AAnt
fontenette	f'AAntIHnEHt
fontenot	f'AAntIHnIXt
fontes	f'OWntEHs
fonts	f'AAnts
fonville	f'OWnvIHLX
fonz	f'AAnz
fonzie	f'AAnzIY
foo	f'UW
foobar	f'UWb'AAr
food	f'UWd
food's	f'UWdz
foodarama	f"UWdER'AEmIX
foodie	f'UWdIY
foodmaker	f'UWdm"EYkER
foodmaker's	f'UWdm"EYkERz
foodmakers	f'UWdm"EYkERz
foods	f'UWdz
foodservice	f'UWds'ERvIHs
foodstuff	f'UWdst"AHf
foodstuffs	f'UWdst"AHfs
foodtown	f'UWdt"AWn
foodway	f'UWdw"EY
foodways	f'UWdw"EYz
fooks	f'UHks
fool	f'UWLX
fool's	f'UWLXz
fooled	f'UWLXd
foolery	f'UWlERIY
foolhardy	f'UWLXh"AArdIY
fooling	f'UWlIHNG
foolish	f'UWlIHSH
foolishly	f'UWlIHSHlIY
foolishness	f'UWlIHSHnIXs
foolproof	f'UWLXpr"UWf
fools	f'UWLXz
foong	f'UWNG
foor	f'UHr
foos	f'UWz
foosball	f'UWsb"AALX
foose	f'UWs
fooshee	f'UWSHIY
foot	f'UHt
footage	f'UHtIHdZH
football	f'UHtb"AALX
football's	f'UHtb"AALXz
footballs	f'UHtb"AALXz
foote	f'UHt
foote's	f'UHts
footed	f'UHtIHd
footer	f'UHtER
footfall	f'UHtf"AALX
foothill	f'UHth"IHLX
foothills	f'UHth"IHLXz
foothold	f'UHth"OWLXd
footholds	f'UHth"OWLXdz
footing	f'UHtIHNG
footings	f'UHtIHNGz
footlight	f'UHtl"AYt
footlights	f'UHtl"AYts
footloose	f'UHtl"UWs
footman	f'UHtmIXn
footnote	f'UHtn"OWt
footnoted	f'UHtn"OWtIHd
footnotes	f'UHtn"OWts
footnoting	f'UHtn"OWtIHNG
footpath	f'UHtp"AETH
footprint	f'UHtpr"IHnt
footprints	f'UHtpr"IHnts
footrace	f'UHtr"EYs
footstep	f'UHtst"EHp
footsteps	f'UHtst"EHps
footwall	f'UHtw"AALX
footware	f'UHtw"EHr
footwear	f'UHtw"EHr
footwork	f'UHtw"ERk
fop	f'AAp
foppiano	fOWpIY'AAnOW
for	f'OWr
fora	f'OWrIX
forage	f'OWrIHdZH
forages	f'OWrIXdZHIXz
foraging	f'OWrIHdZHIHNG
foraker	f'OWrIXkER
foramen	fER'EYmIXn
foran	f'OWrIXn
forand	f'OWrIXnd
foray	f'OWrEY
forayed	f'OWrEYd
foraying	f'OWrEYIHNG
forays	f'OWrEYz
forbad	fERb'AEd
forbade	fERb'EYd
forbearance	fOWrb'EHrIXns
forbes	f'OWrbz
forbes's	f'OWrbzIHz
forbeses	f'OWrbzIHz
forbess	fOWrb'EHs
forbid	fERb'IHd
forbidden	f'OWrbIHdIXn
forbidding	fERb'IHdIHNG
forbids	fERb'IHdz
forbis	f'OWrbIHs
forbus	f'OWrbIHs
forbush	f'OWrb"UHSH
force	f'OWrs
force's	f'OWrsIHz
forced	f'OWrst
forceful	f'OWrsfIXLX
forcefully	f'OWrsfIXlIY
forcefulness	f'OWrsfIXLXnIXs
forceps	f'OWrsEHps
forces	f'OWrsIHz
forcible	f'OWrsIXbIXLX
forcibly	f'OWrsIXblIY
forcier	f'OWrkIYER
forcing	f'OWrsIHNG
forcum	f'OWrkIXm
ford	f'OWrd
ford's	f'OWrdz
forde	f'OWrd
fordham	f'OWrdIXm
fordice	f'OWrdIHs
fords	f'OWrdz
fordyce	f'OWrd"AYs
fore	f'OWr
forearm	fOWr'AArm
forearms	fOWr'AArmz
forebear	f'OWrb"EHr
forebearance	f"OWrb'EHrIXns
forebears	f'OWrb"EHrz
forebode	fOWrb'OWd
foreboding	fOWrb'OWdIHNG
forebrain	f'OWrbr"EYn
forecast	f'OWrk"AEst
forecasted	f'OWrk"AEstIHd
forecaster	f'OWrk"AEstER
forecasters	f'OWrk"AEstERz
forecasting	f'OWrk"AEstIHNG
forecasts	fOWrk'AEsts
foreclose	fOWrkl'OWz
foreclosed	fOWrkl'OWzd
forecloses	fOWrkl'OWzIHz
foreclosing	fOWrkl'OWzIHNG
foreclosure	fOWrkl'OWZHER
foreclosures	fOWrkl'OWZHERz
foree	f'OWr'IY
forefather	f'OWrf"AADHER
forefathers	f'OWrf"AADHERz
forefinger	f'OWrf"IHNGgER
forefingers	f'OWrf"IHNGgERz
forefoot	f'OWrf"UHt
forefront	f'OWrfr"AHnt
forego	fOWrg'OW
foregoing	fOWrg'OWIHNG
foregone	f'OWrg'AAn
foreground	f'OWrgr"AWnd
forehand	f'OWrh"AEnd
forehands	f'OWrh"AEndz
forehead	f'OWrhEHd
foreheads	f'OWrh"EHdz
foreign	f'OWrIXn
foreigner	f'OWrIXnER
foreigners	f'OWrIXnERz
forelimb	f'OWrl"IHm
forelimbs	f'OWrl"IHmz
foreman	f'OWrmIXn
foremen	f'OWrmIXn
foremost	f'OWrm"OWst
forensic	fER'EHnsIHk
forensically	fER'EHnsIHklIY
forensics	fER'EHnsIHks
foreperson	f'OWrpERsIXn
foreplay	f'OWrpl"EY
forero	f'OWrOW
forerunner	f'OWr"AHnER
forerunners	f'OWr"AHnERz
foresaw	f"OWrs'AA
foresee	fOWrs'IY
foreseeable	fOWrs'IYIXbIXLX
foreseeing	fOWrs'IYIHNG
foreseen	f"OWrs'IYn
foresees	fOWrs'IYz
foreshadow	fOWrSH'AEdOW
foreshadowed	fOWrSH'AEdOWd
foreshadowing	fOWrSH'AEdOWIHNG
foreshadows	fOWrSH'AEdOWz
foresight	f'OWrs"AYt
foreskin	f'OWrsk"IHn
foresman	f'OWrsmIXn
forest	f'OWrIXst
forest's	f'OWrIXsts
foresta	f'OWrstIX
forestall	fOWrst'AALX
forestalled	f"OWrst'AALXd
forestalling	f"OWrst'AAlIHNG
forestalls	fOWrst'AALXz
forested	f'OWrIXstIXd
forester	f'OWrIXstER
foresters	f'OWrIXstERz
forestry	f'OWrIXstrIY
forests	f'OWrIXsts
forestville	f'OWrEHstv"IHLX
foret	f'OWrt
foretaste	fOWrt'EYst
foretastes	fOWrt'EYsts
foretell	fOWrt'EHLX
foretelling	fOWrt'EHlIHNG
forethought	f'OWrTH"AAt
foretold	fOWrt'OWLXd
forever	fER'EHvER
forewarn	fOWrw'OWrn
forewarned	fOWrw'OWrnd
forewarning	fOWrw'OWrnIHNG
forewarns	fOWrw'OWrnz
forewing	f'OWrw"IHNG
forewings	f'OWrw"IHNGz
forewoman	f'OWrwUWmIXn
forewomen	f'OWrwIHmEHn
foreword	f'OWrw"ERd
forex	f'OWrEHks
forfeit	f'OWrfIHt
forfeitable	f'OWrfIXtIXbIXLX
forfeited	f'OWrfIHtIHd
forfeiting	f'OWrfIXtIHNG
forfeits	f'OWrfIHts
forfeiture	f'OWrfIXtSHER
forfeitures	f'OWrfIXtSHERz
forgave	fERg'EYv
forge	f'OWrdZH
forged	f'OWrdZHd
forger	f'OWrdZHER
forgeries	f'OWrdZHERIYz
forgers	f'OWrdZHERz
forgery	f'OWrdZHERIY
forges	f'OWrdZHIHz
forget	fERg'EHt
forgetful	fOWrg'EHtfIXLX
forgets	fERg'EHts
forgettable	fOWrg'EHtIXbIXLX
forgette	fERZH'EHt
forgetting	fERg'EHtIHNG
forgey	f'OWrdZHIY
forgie	f'OWrdZHIY
forging	f'OWrdZHIHNG
forgings	f'AAdZHIHNGz
forgione	fOWrdZH'OWnIY
forgivable	fOWrg'IHvIXbIXLX
forgive	fERg'IHv
forgiven	fERg'IHvIXn
forgiveness	fERg'IHvnIXs
forgives	fERg'IHvz
forgiving	fERg'IHvIHNG
forgo	fOWrg'OW
forgoes	fOWrg'OWz
forgoing	fOWrg'OWIHNG
forgone	fOWrg'AAn
forgot	fERg'AAt
forgotten	fERg'AAtIXn
forgue	f'OWrg
forgy	f'OWrdZHIY
forhan	f'OWrhIXn
forie	f'OWrIY
forin	f'OWrIHn
forinash	f'OWrIHnAESH
forint	f'OWrIHnt
forints	f'OWrIHnts
forister	f'OWrIHstER
fork	f'OWrk
forked	f'OWrkt
forker	f'OWrkER
forkey	f'OWrk"IY
forking	f'OWrkIHNG
forklift	f'OWrkl"IHft
forklifts	f'OWrkl"IHfts
forkner	f'OWrknER
forks	f'OWrks
forlenza	fOWrl'EHnzIX
forlorn	fERl'OWrn
form	f'OWrm
form's	f'OWrmz
forma	f'OWrmIX
formal	f'OWrmIXLX
formaldehyde	fOWrm'AELXdIXh"AYd
formalism	f'OWrmIXl"IHzIXm
formalist	f'OWrmIXlIXst
formalities	fOWrm'AElIXtIYz
formality	fOWrm'AElIXtIY
formalization	f'OWrmIXlIXz"EYSHIXn
formalize	f'OWrmIXl"AYz
formalized	f'OWrmIXl"AYzd
formalizes	f'OWrmIXl"AYzIHz
formalizing	f'OWrmIXl"AYzIHNG
formally	f'OWrmIXlIY
forman	f'OWrm"AEn
formanek	f'OWrmIXnIHk
formant	f'OWrmIXnt
formants	f'OWrmIXnts
format	f'OWrm"AEt
formation	fOWrm'EYSHIXn
formations	fOWrm'EYSHIXnz
formative	f'OWrmIXtIHv
formato	fOWrm'AAtOW
formats	f'OWrm"AEts
formatting	f'OWrm"AEtIHNG
formbey	f'OWrmbIY
formby	f'OWrmbIY
formed	f'OWrmd
former	f'OWrmER
formerly	f'OWrmERlIY
formic	f'OWrmIHk
formica	fOWrm'AYkIX
formica's	fOWrm'AYkIXz
formidable	f'OWrmIXdIXbIXLX
formidably	f'OWrmIXdIXblIY
forming	f'OWrmIHNG
formosa	fOWrm'OWsIX
formoso	fOWrm'OWsOW
forms	f'OWrmz
formula	f'OWrmyIXlIX
formulae	f'OWrmyIXl"EY
formulaic	f"OWrmyIXl'EYIHk
formulary	f'OWrmyIXl"EHrIY
formulas	f'OWrmyIXlIXz
formulate	f'OWrmyIXl"EYt
formulated	f'OWrmyIXl"EYtIXd
formulates	f'OWrmyIXl"EYts
formulating	f'OWrmyIXl"EYtIHNG
formulation	f"OWrmyIXl'EYSHIXn
formulations	f"OWrmyUWl'EYSHIXnz
formylin	f'OWrmIHlIHn
fornal	f'OWrnIXLX
forner	f'OWrnER
fornes	f'OWrnz
forness	f'ERnIHs
forney	f'OWrnIY
forni	f'OWrnIY
fornoff	f'OWrnAAf
fornwalt	f'OWrnwIXLXt
forquer	f'OWrkER
forr	f'OWr
forrer	f'AAERr
forrest	f'OWrIXst
forrestal	f'OWrIXstIXLX
forrester	f'OWrIXstER
forrey	f'OWrIY
forry	f'OWrIY
fors	f'ERz
forsake	fOWrs'EYk
forsaken	fOWrs'EYkIXn
forsaking	fOWrs'EYkIHNG
forsberg	f'OWrsbERg
forsburg	f'OWrsbERg
forsburg's	f'OWrsbERgz
forschner	f'OWrSHnER
forse	f'OWrs
forsee	fERs'IY
forseeable	f"OWrs'IYIXbIXLX
forsell	f'OWrsIXLX
forseth	f'OWrsIHTH
forsgren	f'OWrsgrEHn
forshan	f'OWrSHIXn
forshee	f'OWrSHIY
forshey	f'OWrSHIY
forslund	f'OWrslIXnd
forsman	f'OWrsmIXn
forson	f'OWrsIXn
forsook	fOWrs'UHk
forst	f'OWrst
forster	f'OWrstER
forstmann	f'OWrstmIXn
forstner	f'OWrstnER
forstrom	f'OWrstrIXm
forswear	fOWrsw'EHr
forsworn	f"OWrsw'OWrn
forsyth	f'OWrs"AYTH
forsythe	f'OWrsAYDH
forsythia	fOWrs'IHTHIYIX
forsythias	fOWrs'IHTHIYIXz
fort	f'OWrt
fortas	f'OWrtIXs
fortas's	f'OWrtIXsIHz
forte	f'OWrtEY
fortenberry	f'OWrtIXnbEHrIY
fortes	f'OWrtEYz
forth	f'OWrTH
forthcoming	f'OWrTHk'AHmIHNG
forthright	f'OWrTHr'AYt
forthrightly	f'OWrTHr'AYtlIY
forthrightness	f'OWrTHr'AYtnIXs
forthwith	f'OWrTHw'IHTH
forti	f'OWrtIY
fortier	f'OWrtIYER
fortier's	f'OWrtIYERz
forties	f'OWrtIYz
fortieth	f'OWrtIYIHTH
fortification	f"OWrtIXfIXk'EYSHIXn
fortifications	f"OWrtIXfIXk'EYSHIXnz
fortified	f'OWrtIXf"AYd
fortifier	f'OWrtIXf"AYER
fortifiers	f'OWrtIXf"AYERz
fortify	f'OWrtIHf"AY
fortifying	f'OWrtIHf"AYIHNG
fortin	f'OWrtIHn
fortini	fOWrt'IYnIY
fortino	fOWrt'IYnOW
fortis	f'OWrtIHs
fortitude	f'OWrtIHt"UWd
fortman	f'OWrtmIXn
fortna	f'OWrtnIX
fortner	f'OWrtnER
fortney	f'OWrtnIY
fortnight	f'OWrtn"AYt
fortnightly	f'OWrtn"AYtlIY
fortnights	f'OWrtn"AYts
forton	f'OWrtIXn
fortress	f'OWrtrIXs
fortresses	f'OWrtrIXsIHz
forts	f'OWrts
fortson	f'OWrtsIXn
fortuitous	fOWrt'UWIHtIXs
fortuna	fOWrt'UWnIX
fortunate	f'OWrtSHIXnIXt
fortunately	f'OWrtSHIXnIXtlIY
fortunato	fOWrtUWn'AAtOW
fortune	f'OWrtSHIXn
fortune's	f'OWrtSHIXnz
fortunes	f'OWrtSHIXnz
fortuny	fOWrtSH'UWnIY
forty	f'OWrtIY
forty's	f'OWrtIYz
forum	f'OWrIXm
forum's	f'OWrIXmz
forums	f'OWrIXmz
forward	f'OWrwERd
forwarded	f'OWrwERdIHd
forwarder	f'OWrwERdER
forwarders	f'OWrwERdERz
forwarding	f'OWrwERdIHNG
forwards	f'OWrwERdz
forwood	f'OWrw"UHd
forys	f'OWrIYz
forza	f'OWrzIX
fosamax	f'AAsIXm"AEks
fosback	f'AAsb"AEk
fosberg	f'AAsbERg
fosco	f'AAskOW
fosdick	f'AAsdIHk
foshee	f'AASHIY
fosia	f'OWZHIX
foskett	f'AAskIHt
foskey	f'AAskIY
fosler	f'AAsIXlER
fosnaugh	f'AAsnAA
foss	f'AAs
fosse	f'AAs
fossel	f'AAsIXLX
fossen	f'AAsIXn
fossett	f'AAsIHt
fossett's	f'AAsIHts
fossey	f'AAsIY
fossey's	f'AAsIYz
fossil	f'AAsIXLX
fossiliferous	f"AAsIXl'IHfERIXs
fossilize	f'AAsIXl"AYz
fossilized	f'AAsIXl"AYzd
fossils	f'AAsIXLXz
fossum	f'AAsIXm
foster	f'AAstER
foster's	f'AAstERz
fostered	f'AAstERd
fostering	f'AAstERIHNG
fosters	f'AAstERz
foth	f'AATH
fothergill	f'AHDHERg"IHLX
fotheringham	f'AHDHERIHNGhAEm
foti	f'OWtIY
fotis	f'OWtIHs
fotopoulos	fIXt'AApIXlIHs
fouad	f'UWAEd
foucault	f"UWk'OW
fouch	f'AWtSH
fouche	f'AWtSH
foucher	f'AWkER
fougere	f'AWgER
fought	f'AAt
fouhy	f'UWIY
foul	f'AWLX
foulds	f'OWLXdz
fouled	f'AWLXd
fouling	f'AWlIHNG
foulk	f'AWLXk
foulke	f'AWLXk
foulkes	f'AWLXks
foulks	f'UWLXks
foulness	f'AWLXnIXs
fouls	f'AWLXz
found	f'AWnd
foundation	fAWnd'EYSHIXn
foundation's	fAWnd'EYSHIXnz
foundational	fAWnd'EYSHIXnIXLX
foundations	fAWnd'EYSHIXnz
founded	f'AWndIHd
founder	f'AWndER
founder's	f'AWndERz
foundered	f'AWndERd
foundering	f'AWndERIHNG
founders	f'AWndERz
founding	f'AWndIHNG
foundling	f'AWndlIHNG
foundries	f'AWndrIYz
foundry	f'AWndrIY
fountain	f'AWntIXn
fountaine	fUWnt'EYn
fountains	f'AWntIXnz
four	f'OWr
four's	f'OWrz
fourfold	f"OWrf'OWLXd
fourier	f'UHrIYEY
fourman	f'OWrmIXn
fournet	fUHrn'EHt
fournier	f'OWrn"IYER
fours	f'OWrz
foursome	f'OWrsIXm
foursquare	f'OWrskw'EHr
fourteen	f'OWrt'IYn
fourteens	f'OWrt'IYnz
fourteenth	f'OWrt'IYnTH
fourth	f'OWrTH
fourth's	f'OWrTHs
fourthly	f'OWrTHlIY
fourthquarter	f'OWrTHkw'OWrtER
fourths	f'OWrTHs
fourtou	fOWrt'UW
fouse	f'AWs
fousek	f'AWsIHk
foushee	f'AWSHIY
foust	f'AWst
fout	f'AWt
foutch	f'AWtSH
fouts	f'AWts
fouty	f'AWtIY
foutz	f'AWts
fowble	f'AWbIXLX
fowers	f'AWERz
fowkes	f'AWks
fowl	f'AWLX
fowle	f'AWIXLX
fowler	f'AWlER
fowler's	f'AWlERz
fowles	f'AWIXLXz
fowlkes	f'AWLXks
fox	f'AAks
fox's	f'AAksIXz
foxboro	f'AAksbEROW
foxborough	f'AAksbEROW
foxes	f'AAksIXz
foxfire	f'AAksf"AYr
foxglove	f'AAksgl"AHv
foxhole	f'AAksh"OWLX
foxholes	f'AAksh"OWLXz
foxhound	f'AAksh"AWnd
foxman	f'AAksmIXn
foxman's	f'AAksmIXnz
foxmeyer	f'AAksm"AYr
foxtail	f'AAkst"EYLX
foxtrot	f'AAkstrAAt
foxwell	f'AAksw"EHLX
foxwood	f'AAksw"UHd
foxwoods	f'AAksw"UHdz
